type	name	located_in	q_number	lat_long
campus	University of Florida Main Campus	Gainesville		"29.6436371,-82.3571242"
city	Algiers	Algeria	Q3561	"36.753889,3.058889"
city	Gainesville	Florida	Q487999	"29.651997,-82.324992"
city	Hanover	Germany	Q1715	"52.366667,9.716667"
continent	Africa		Q15	"2.1939041,5.1809943"
continent	Antarctica		Q51	"-59.1301414,0"
continent	Asia		Q48	"23.8423658,62.5806419"
continent	Europe		Q46	"48.1283886,4.1481067"
continent	North America		Q49	"36.1487631,-128.0504975"
continent	Oceania		Q538	"-8.6132766,91.4864474"
continent	South America		Q18	"-18.7970146,-80.2891285"
country	Algeria	Africa	Q262	"28.0310969,-2.8357021"
country	Angola	Africa		
country	Benin	Africa		
country	Botswana	Africa		
country	Burkina Faso	Africa		
country	Burundi	Africa		
country	Cameroon	Africa		
country	Cape Verde	Africa		
country	Central African Republic	Africa		
country	Chad	Africa		
country	Comoros	Africa		
country	Democratic Republic of the Congo	Africa		
country	Djibouti	Africa		
country	Egypt	Africa		
country	Equatorial Guinea	Africa		
country	Eritrea	Africa		
country	Eswatini	Africa		
country	Ethiopia	Africa		
country	Gabon	Africa		
country	Ghana	Africa		
country	Guinea	Africa		
country	Guinea-Bissau	Africa		
country	Ivory Coast	Africa		
country	Kenya	Africa		
country	Lesotho	Africa		
country	Liberia	Africa		
country	Libya	Africa		
country	Madagascar	Africa		
country	Malawi	Africa		
country	Mali	Africa		
country	Mauritania	Africa		
country	Mauritius	Africa		
country	Morocco	Africa		
country	Mozambique	Africa		
country	Namibia	Africa		
country	Niger	Africa		
country	Nigeria	Africa		
country	Reoublic of the Congo	Africa		
country	Rwanda	Africa		
country	Sao Tome and Principe	Africa		
country	Senegal	Africa		
country	Seychelles	Africa		
country	Sierra Leone	Africa		
country	Somalia	Africa		
country	South Africa	Africa		
country	South Sudan	Africa		
country	Sudan	Africa		
country	Tanzania	Africa		
country	The Gambia	Africa		
country	Togo	Africa		
country	Tonga	Africa		
country	Tunisia	Africa		
country	Uganda	Africa		
country	Western Sahara	Africa		
country	Zambia	Africa		
country	Zimbabwe	Africa		
country	Afghanistan	Asia		"33.9181653,65.4550382"
country	Armenia	Asia		
country	Azerbaijan	Asia		
country	Bahrain	Asia		
country	Bangladesh	Asia		
country	Bhutan	Asia		
country	Brunei Darussalam	Asia		
country	Cambodia	Asia		
country	China	Asia		
country	Georgia	Asia		
country	India	Asia		
country	Indonesia	Asia		
country	Iran	Asia		
country	Iraq	Asia		
country	Israel	Asia		
country	Japan	Asia		
country	Jordan	Asia		
country	Kazakhstan	Asia		
country	Kuwait	Asia		
country	Kyrgyzstan	Asia		
country	Laos	Asia		
country	Lebanon	Asia		
country	Malaysia	Asia		
